high_extraversion,realistic,HER,The Chief Executive,"Someone asks you to give a speech at a wedding reception?  No worries.  Your neighbor needs a hand changing a tire?  Right in your, ahem, wheelhouse.  A co-worker wants to have a long, drawn-out discussion about general office morale and the social reasons behind it?  Noooo thanks.  That's just not who you are.  You want to move.  You want to accomplish.  You want to take the lead, rally the troops, and get things done.  ","Your energy is a gift to use in your interactions with the people in your life.  So is your ability to see the root of a problem and enthusiastically address it.  Your talents, along with your enjoyment of being with others, offer the potential for great joy and meaning in your personal and relational life.   ","In your activities and relationships, be careful that your knowledge and enthusiasm don't cause you to miss out on experiences and good ideas that might come from the less outgoing people around you.  And when decisions need to be made, don't short-change the thinking process.  Sometimes it may be important to think about and even - Yikes! - have a discussion before jumping into action.","**The Chief Executive** brings charisma, spontaneity, and leadership through energetic action.",You are *an effective leader* who enjoys being with others.,Your *enthusiasm and sociability* offer great potential for meaningful relationships.,Make sure your *desire for action* doesn't keep you from whatever analysis may be necessary in a given situation.
high_neuroticism,realistic,HNR,The Power Tool,"A new task?  A new challenge?  Bring it on, you say.  Especially if it requires that you work with your hands and get to use tools. You like to jump in and get things done.  One of the last things you want to do is sit around discussing issues and ""alternative perspectives"" all the time.  You're more in line with what Walt Whitman wrote:  ""How beggarly appear arguments before a defiant deed!""  ","One challenge you face fairly regularly, though, is learning to control your emotions.  At times, this may affect your ability to maintain good relationships with the people in your life.  It's not that you don't like being with people.  You know that relationships are an important part of life, and that they give meaning to much of what we do as human beings.  Plus, the fact that you often react emotionally and intensely when things don't go your way, means that you're full of passion.  That's a good thing, and most likely there are people in your life who appreciate your ability to feel your feelings.  ","The bad news, though, is that an inability to maintain control over your feelings and reactions can cause you all kinds of problems, in both your professional and personal life.  So now's probably a good time for you to look at your tendency to get upset more easily than others.  Simply by acknowledging that this is a problem you want to address, you'll be taking an important step towards growth and increased happiness.","**The Power Tool** enjoys tackling practical, hands-on tasks, and does so with spirited emotion that at times can appear almost overpowering to the people around them.                                                                                                                                                                                                                                                                          ","You prefer concrete projects over abstract assignments, and you want to *jump into any new challenge*.",You react more strongly than most people when things don't go your way.,We encourage you to spend some time thinking about your *high-emotion reactions* that can hold you back in both your career and in your relationships.
high_neuroticism,investigative,HNI,The Scrutinizer,"Robert Frost once said ""Don't ever take a fence down until you know why it was put up.""  You totally get what he was talking about.  There are people in this world who blindly jump into any problem, ready to immediately take it on before they even understand the problem.  You?  No way.  Your approach is to carefully and methodically observe a situation, analyze any relevant information, then make an informed decision about how best to proceed.  This steady approach has proven successful for you over time, and the people in your life know they can count on you to fully think through any issue that arises and, often, come up with an interesting and original approach to it.  ","One concern to remain aware of, though, is your tendency to react pretty intensely when things don't go your way.  When new obstacles present themselves before you, you're not always able to maintain control over your emotions.  This is something you want to pay attention to.  As problems arise at work or in your social life, remain aware of how you're experiencing your emotions in your mind and your body, and take steps to maintain control.  One of the best things you can do is just slow your breathing and relax your shoulders.  Do whatever you need in order to stay in control of yourself.","Then, once you've calmed yourself, be proactive in the way you address that particular problem.  Visit with the people involved about whatever upsets you, and discuss with them how best to address the issue, improving the relational environment for everyone. ","**The Scrutinizer** carefully surveys a situation before diving in with intense focus and, sometimes, intense emotion. ",You rely on *careful planning and analysis* to make decisions about how you live your life.,"Sometimes, though, your *emotional reactions keep you from maintaining control* of yourself.","By taking a minute to *cool off* when your emotions begin to run amuck, you can move towards making the various aspects of your life -- your job, your social life, your relationships -- more happy and successful."
high_neuroticism,artistic,HNA,The Microwave,"Wow, you've got it all.  Serious artistic sensibilities, with the temperament to go with it.  You bring originality and creativity to your work, and you have little interest in following conventions and expectations.  In your emotional life, you also tend to move away from the middle.  Especially when things don't go your way, you can react pretty intensely.  ","Chances are, there are plenty of people around you who love the gusto with which you work and live your life.  It may be, too, though, that your strong negative reactions when things go wrong are keeping you from being as successful as you could be, in both your career and your relationships.  Do your best to notice when you feel yourself becoming upset, and try to manage those feelings before allowing them to explode into larger actions and reactions.","Also, once you notice something that's consistently upsetting you, take steps to address the situation.  Be proactive, talking to the person you have an issue with so it's not a constant source of irritation.  Then you can enjoy the relationship again and get back to doing what you do so well:  using your creativity and imagination to come up with interesting and novel ideas.",**The Microwave** heats up quickly emotionally then cooks with creative passion and intense originality.,"You have an excellent *sense of creativity*, preferring to invent original solutions rather than follow set routines.","But your life, and especially your relationships, are in danger of being harmed by your tendency to *react so strongly when problems come up*.","Work on taking proactive steps to deal with workplace and relational conflicts, rather than letting resentment fester and hurt everyone involved."
high_neuroticism,social,HNS,The Shelter,"You seem to have a way with people, and your ability to let others know you care about them is a real strength when it comes to how you do relate to the people around you.  One thing that gets in your way sometimes, though, is your tendency to react pretty intensely when things don't go your way.  There's nothing wrong with getting upset -- everyone does -- but sometimes negative situations affect you more strongly than they do other people.","It's good that you're so in touch with your emotional side.  But when those strong emotions get in the way of accomplishing what you want to accomplish -- in your job, in your social life, in your relationships -- you might want to take steps to deal with those feelings more productively.  This is especially the case since you care so much about helping others and responding to how they feel.","So the next time you find yourself getting upset with a situation or a person in your life, pay attention to the sensations in your body.  Take a deep breath and relax your shoulders.  If you feel you won't be able to maintain control, then excuse yourself for a few minutes until you feel more calm.  Then you can return and deal with the situation in a way that will feel better to everyone involved.","**The Shelter** builds strong connections and is good at caring for others, often approaching situations with intense emotions. ",You care very much for the people around you and *want to help others* as much as possible.,"Sometimes, though, you have a *difficult time controlling your emotions* when things don't go your way.","*Pay attention to your body* when you begin to become upset, and use that awareness as a red flag that warns you to take proactive steps towards calming down."
high_neuroticism,enterprising,HNE,The Producer,"Some people prefer to play things safe, making sure to quietly color inside the lines when there's a job to do.  You?  Not so much.  You're more about seeing a problem and solving it, even if you need to take some risks.  And your assertiveness, combined with your communication skills, means that people will often follow you when you take charge.","It also seems to be true, though, that minor frustrations can upset you more than they upset most people.  This can create obstacles in your attempt to accomplish what you envision -- whether we're talking about your professional or personal life -- and it can sometimes limit your ability to interact with others in a meaningful way.  Your passion is a strength, and it's good that you feel deeply.  But your intense reactions aren't always your friend when it comes to how they affect your work and relationships. ","We want to encourage you to remain aware of this tendency, so you can maintain control of yourself and your emotions when irritations arise.  Do your best to be proactive, staying ahead of your frustration, so that when upsetting problems do arise, you can monitor your response and even excuse yourself from a room if necessary.  Then you'll have a much better chance of comporting yourself in a way that will earn the loyalty and respect of the people you care about.","**The Producer** embodies bold, out-of-the-box leadership fueled by passionate emotion.",You have the *assertiveness and communication skills* that can make *people want to follow you*.,"Your emotions, though, can get the best of you sometimes when difficulties arise.",*Work on remaining aware of your emotions* so you don't do damage to your career or relationships in a moment of weakness.
high_neuroticism,conventional,HNC,The Analyst,"You love organization, and you're good at it.  Give you a set of information, and you'll analyze it, categorize it, and deliver it in a way that's clear and concise.  This attention to detail and routine allows you to maintain neatness and order in your life and work.  What's difficult, though, is that at times, your emotions don't always follow suit.  You can identify with Jim Morrison, who once said, ""I think of myself as an intelligent, sensitive human being with the soul of a clown which always forces me to blow it at the most important moments.""","As much as you love order and control, you also ""blow it"" sometimes when frustrations arise and you have a hard time staying on top of your feelings.  It seems that, more than most people, you tend to react pretty intensely when things don't go your way.  Most likely, that's especially hard for you to deal with, since your preference in general -- at your job and in your relationships -- is to maintain control.","Now might be a good time to use your analytical and organizational powers to get ahead of this control issue.  Spend some time exploring what factors generally set you off or cause you trouble.  Then explore possible responses.  Think of it as an assignment, where your task is to better understand your tendency to react strongly to the irritations that crop up around you.  You don't have to solve the whole puzzle; but the more you can get on top of this issue, the better you'll be at creating the order and neatness you crave and enjoy in your life and work.","**The Analyst** combines an exquisite attention to rules, routines, and details, with occasional displays of passion and high emotions.","You excel at *organization and detailed analysis*, and your focus on small details is a gift that serves you well.","But *your emotions sometimes get the best of you*, and this can hamper your ability to succeed in your career and relationships.",Use your analytical skills to examine this issue and to *explore how best to gain control* of yourself and your emotions.
low_neuroticism,realistic,LNR,The Well-Oiled Machine,"You bring power and skill to any problem that comes up, whether it's in your personal or professional life.  You've got this ""can-do"" attitude that makes you ready to take on any task someone puts before you, especially if it involves fixing something or working with your hands.  And you approach any new issue on a stable, even keel.  You don't get easily upset, and you're not likely to overreact when things don't go your way.","All of that means that you're probably someone that the people in your life know they can count on.  You're consistent and steady, and you're ready to jump in when a problem presents itself or someone needs help.","Keep in mind, though, that sometimes discussion and planning are necessary to do a job well.  Your eagerness to get started has the potential to limit how effective you can be--at your job, and in your relationships.  Even though it's not your preference to sit down and have a discussion before addressing a new issue that's arisen, doing so might allow you to accomplish even more and be more effective once you do get started.","**The Well-Oiled Machine** brings a stable, consistent approach to practical, hands-on tasks.",You can control your emotions and *rarely lose your cool*.,The people around you know they can count on you to be *stable and consistent* when problems come up.,"Instead of immediately leaping into action whenever a problem comes up, spend at least some time exploring the best possible approach or perspective."
low_neuroticism,investigative,LNI,The Calculator,"Most likely, nobody's ever accused you of being hyper.  Or wacky.  Instead, you live on an even keel, rarely getting too upset when things don't go your way.  This stability meshes well with your approach to life and relationships, in that when a problem comes up, you like to methodically gather information, analyze it, then solve it.","As a result, the people in your life know they can count on you.  You may not always be recognized as a star, but your ability to think independently, and use your natural curiosity and insight to come up with original approaches to whatever issue arises, make you extremely valuable to the people around you.  Especially when they know  you're not going to overreact when problems do come up.","Maintain this steady, consistent approach to your life, work, and relationships.  But remain open to different ideas and methods as well, and to the people who suggest them.  After all, a more spontaneous or energetic approach to a particular issue might mesh well with your methodical nature and provide new and interesting results.",**The Calculator** brings an emotionally cool and methodical approach to insightful problem solving. ,You prefer *gathering information and analyzing strategies* before taking action.,You can *think independently* and use your natural insight to devise solutions to tough problems.,"Sometimes you should *remain open* to more spontaneous perspectives on how to approach an issue that comes up in your life, work, and relationships."
low_neuroticism,artistic,LNA,The Eye of the Storm,"You love to create, to imagine, to invent.  In many ways, you've got a prototypical artistic temperament.  But where you break from the stereotype is on an emotional level.  No one who knows you would accuse you of being the depressed artist type, living and creating from the depths of your despair.","Instead, you're emotionally stable, rarely allowing difficult moments to get you down in any significant way.  You might react strongly from time to time, but that's unusual.  More often, you live and work in a way that's free from intense negative feelings. As a result, the people in your life know what to expect from you.  That's a real strength, especially when  combined with your creative and insightful approach to solving problems that may arise.","Make sure, though, that you're not squelching your feelings or denying any important parts of your emotional life.  Remaining in control is a good thing, as long as there's not a volcano bubbling below the surface.  Repression rarely leads to health, happiness, or creative expression.",**The Eye of the Storm** works from a calm and peaceful center to create and imagine new possibilities.  ,You excel at *creativity and invention*.,You can control your emotions and *rarely lose your cool*.,Watch out and *avoid squelching important emotions* that you may be experiencing and needing to pay attention to.
low_neuroticism,social,LNS,The Pillar of Strength,"One of your strengths is your ability to control your emotions.  When something doesn't go your way, you don't overreact.  This is an important characteristic for you, since one of the things that motivates you the most is helping other people.  Your ability to remain calm yourself, most likely helps you find ways to focus on and resolve the problems of others.","The equanimity you show when things go wrong -- at your work, in your relationships, in your overall life -- means you're someone others can count on to be consistent and to remain in control of yourself.  That means you can be even more helpful to the people in your life.","Be careful, though, that in your efforts to help others, you don't ignore your own needs and desires, and that your own joy doesn't suffer.  There's nothing wrong with taking care of yourself.  On the contrary, making sure to meet your own needs increases your chances of being able to help meet the needs of others in productive and meaningful ways.",**The Pillar of Strength** uses a calm and composed demeanor to help and support other people. ,You care about other people and *enjoy serving people* who need help in some way.,You can control your emotions and *rarely lose your cool*.,"Make sure to *focus on your own emotional wellbeing*, instead of catering exclusively to the needs of everyone else."
low_neuroticism,enterprising,LNE,The Cool Cat,"Looks like you know how to talk, and you have the ability to influence and persuade others when it comes to reaching professional and relational goals.  One reason people may be willing to follow your lead is that you display the helpful ability of being able to control your negative emotions.  When obstacles arise, you don't overreact.  Instead, you remain calm and composed.","This emotional stability helps you not only in your dealings with others, but also in your own individual life.  You often rely on your own insights and intuition when making decisions, and the more you can do that from a place of calm and objectivity, as opposed to high emotion or distress, the more likely it is that whatever decisions you make and risks you take will pay off.","Speaking of those risks, do your best to consider possible landmines when you're making decisions.  You love the big idea, and your confidence and assertiveness can help you achieve things others can't.  But beware of your tendency to charge into a situation without considering all other alternatives.  Don't change who you are; just be willing to listen to other options as you proceed toward the personal and professional goals you're aiming to achieve.",**The Cool Cat** brings innovation and leadership through calm and objective focus. ,"You excel at *envisioning big ideas*, and then *influencing and persuading* others to come along with you.",You're good at controlling your emotions and *rarely lose your cool*.,Make sure to analyze various perspectives and approaches before diving in and tackling a problem or assignment.
low_neuroticism,conventional,LNC,The Anchor,"Some people love taking risks.  They get off on the adrenaline rush that accompanies the extremes of high and low emotion.  You?  You're pretty much the opposite.  It just doesn't appeal to you to take all kinds of unwise chances that may or may not pay off.  You prefer to follow clear routines and guidelines and take care of important details, so your life and work and relationships can remain predictable and stable.","The fact that you're responsible and well organized means that the people in your life know they can count on you.  One strength that helps you maintain this kind of consistency and stability is that you remain calm and in control of your own feelings.  You tend to be composed and stable, and when things don't go your way, you rarely overreact.  ","One growth area you might want to explore has to do with stepping outside of your comfort zone from time to time, especially as it relates to your love of routine and order.  Whether we're talking about personal relationships or professional projects, variety and a movement beyond the status quo can often add meaning and significance to your life and work.  And who knows?  You might just come up with a whole new routine that allows you to be even more better at the things you're already good at.","**The Anchor** remains cool, composed, and organized, which allows for careful and effective attention to rules and routines.",You value *stability and trusted routines*.,You're also good at maintaining self-control when things go wrong.,"Sometimes you should *be more flexible*, considering alternate approaches and perspectives in your life and work.  "
